# portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	0	34	10	10	10
0	0	0	25	10	10	10
0	0	0	37	10	10	10
0	0	0	28	10	10	10
0	0	0	56	10	10	10
0	0	0	31	10	10	10
0	0	0	59	10	10	10
0	0	0	18	10	10	10
0	0	0	9	10	10	10
0	0	0	62	10	10	10
0	0	0	21	10	10	10
0	0	0	12	10	10	10
0	0	0	49	10	10	10
0	0	0	40	10	10	10
0	0	0	15	10	10	10
0	0	0	52	10	10	10
0	0	0	43	10	10	10
0	0	0	2	10	10	10
0	0	0	55	10	10	10
0	0	0	46	10	10	10
0	0	0	5	10	10	10
0	0	0	33	10	10	10
0	0	0	24	10	10	10
0	0	0	36	10	10	10
0	0	0	27	10	10	10
0	0	0	39	10	10	10
0	0	0	30	10	10	10
0	0	0	58	10	10	10
0	0	0	17	10	10	10
0	0	0	8	10	10	10
0	0	0	61	10	10	10
0	0	0	20	10	10	10
0	0	0	11	10	10	10
0	0	0	48	10	10	10
0	0	0	23	10	10	10
0	0	0	14	10	10	10
0	0	0	51	10	10	10
0	0	0	42	10	10	10
0	0	0	1	10	10	10
0	0	0	54	10	10	10
0	0	0	45	10	10	10
0	0	0	4	10	10	10
0	0	0	32	10	10	10
0	0	0	7	10	10	10
0	0	0	35	10	10	10
0	0	0	26	10	10	10
0	0	0	38	10	10	10
0	0	0	29	10	10	10
0	0	0	57	10	10	10
0	0	0	16	10	10	10
0	0	0	60	10	10	10
0	0	0	19	10	10	10
0	0	0	10	10	10	10
0	0	0	63	10	10	10
0	0	0	22	10	10	10
0	0	0	13	10	10	10
0	0	0	50	10	10	10
0	0	0	41	10	10	10
0	0	0	0	10	10	10
0	0	0	53	10	10	10
0	0	0	44	10	10	10
0	0	0	3	10	10	10
0	0	0	47	10	10	10
0	0	0	6	10	10	10
